date,jobcountry,indeed_job_postings_index,display_name
2023-01-01,DE,136.00935483870967,Architecture
2023-02-01,DE,133.88464285714286,Architecture
2023-03-01,DE,133.85451612903225,Architecture
2023-04-01,DE,130.063,Architecture
2023-05-01,DE,126.16806451612904,Architecture
2023-06-01,DE,126.23299999999999,Architecture
2023-07-01,DE,127.9941935483871,Architecture
2023-08-01,DE,131.40548387096774,Architecture
2023-09-01,DE,125.70766666666667,Architecture
2023-10-01,DE,121.23870967741935,Architecture
2023-11-01,DE,119.78466666666667,Architecture
2023-12-01,DE,118.34483870967742,Architecture
2024-01-01,DE,115.06451612903226,Architecture
2024-02-01,DE,110.49517241379311,Architecture
2024-03-01,DE,108.4558064516129,Architecture
2024-04-01,DE,103.539,Architecture
2024-05-01,DE,98.86322580645162,Architecture
2024-06-01,DE,98.27233333333334,Architecture
2024-07-01,DE,99.75225806451614,Architecture
2024-08-01,DE,100.04322580645162,Architecture
2024-09-01,DE,97.544,Architecture
2020-02-01,DE,99.66999999999999,Beauty & Wellness
2020-03-01,DE,94.41354838709678,Beauty & Wellness
2020-04-01,DE,83.52733333333335,Beauty & Wellness
2020-05-01,DE,78.4274193548387,Beauty & Wellness
2020-06-01,DE,77.58733333333333,Beauty & Wellness
2020-07-01,DE,80.73806451612903,Beauty & Wellness
2020-08-01,DE,100.72645161290322,Beauty & Wellness
2020-09-01,DE,99.25133333333333,Beauty & Wellness
2020-10-01,DE,96.7316129032258,Beauty & Wellness
2020-11-01,DE,83.09333333333333,Beauty & Wellness
2020-12-01,DE,68.91193548387096,Beauty & Wellness
2021-01-01,DE,73.57387096774194,Beauty & Wellness
2021-02-01,DE,69.38142857142857,Beauty & Wellness
2021-03-01,DE,76.41709677419354,Beauty & Wellness
2021-04-01,DE,78.095,Beauty & Wellness
2021-05-01,DE,78.45161290322581,Beauty & Wellness
2021-06-01,DE,92.23633333333333,Beauty & Wellness
2021-07-01,DE,102.63774193548387,Beauty & Wellness
2021-08-01,DE,115.21806451612903,Beauty & Wellness
2021-09-01,DE,122.31433333333332,Beauty & Wellness
2021-10-01,DE,133.82290322580647,Beauty & Wellness
2021-11-01,DE,143.30499999999998,Beauty & Wellness
2021-12-01,DE,141.17935483870968,Beauty & Wellness
2022-01-01,DE,148.83419354838708,Beauty & Wellness
2022-02-01,DE,142.82999999999998,Beauty & Wellness
2022-03-01,DE,139.60451612903225,Beauty & Wellness
2022-04-01,DE,143.94166666666666,Beauty & Wellness
2022-05-01,DE,148.71161290322578,Beauty & Wellness
2022-06-01,DE,147.18566666666666,Beauty & Wellness
2022-07-01,DE,157.1093548387097,Beauty & Wellness
2022-08-01,DE,165.60645161290324,Beauty & Wellness
2022-09-01,DE,160.53400000000002,Beauty & Wellness
2022-10-01,DE,165.6225806451613,Beauty & Wellness
2022-11-01,DE,176.57366666666667,Beauty & Wellness
2022-12-01,DE,180.62870967741935,Beauty & Wellness
2023-01-01,DE,167.81967741935483,Beauty & Wellness
2023-02-01,DE,204.1939285714286,Beauty & Wellness
2023-03-01,DE,204.44709677419354,Beauty & Wellness
2023-04-01,DE,204.02966666666669,Beauty & Wellness
2023-05-01,DE,181.79677419354837,Beauty & Wellness
2023-06-01,DE,157.25833333333333,Beauty & Wellness
2023-07-01,DE,242.10967741935482,Beauty & Wellness
2023-08-01,DE,248.4806451612903,Beauty & Wellness
2023-09-01,DE,230.21033333333335,Beauty & Wellness
2023-10-01,DE,217.07096774193548,Beauty & Wellness
2023-11-01,DE,184.01066666666665,Beauty & Wellness
2023-12-01,DE,166.3683870967742,Beauty & Wellness
2024-01-01,DE,172.8774193548387,Beauty & Wellness
2024-02-01,DE,173.82068965517243,Beauty & Wellness
2024-03-01,DE,185.81806451612903,Beauty & Wellness
2024-04-01,DE,177.64466666666667,Beauty & Wellness
2024-05-01,DE,170.70677419354837,Beauty & Wellness
2024-06-01,DE,165.36700000000002,Beauty & Wellness
2024-07-01,DE,160.16645161290322,Beauty & Wellness
2024-08-01,DE,160.44451612903225,Beauty & Wellness
2024-09-01,DE,151.2895,Beauty & Wellness
2020-02-01,DE,90.36103448275861,Childcare
2020-03-01,DE,85.35064516129032,Childcare
2020-04-01,DE,71.33999999999999,Childcare
2020-05-01,DE,58.682580645161295,Childcare
2020-06-01,DE,53.322,Childcare
2020-07-01,DE,67.75774193548386,Childcare
2020-08-01,DE,66.9716129032258,Childcare
2020-09-01,DE,78.07533333333335,Childcare
2020-10-01,DE,56.84516129032258,Childcare
2020-11-01,DE,49.49,Childcare
2020-12-01,DE,42.51129032258064,Childcare
2021-01-01,DE,48.9958064516129,Childcare
2021-02-01,DE,38.10821428571428,Childcare
2021-03-01,DE,37.69451612903226,Childcare
2021-04-01,DE,40.617666666666665,Childcare
2021-05-01,DE,37.538709677419355,Childcare
2021-06-01,DE,40.74166666666667,Childcare
2021-07-01,DE,46.494193548387095,Childcare
2021-08-01,DE,42.09516129032258,Childcare
2021-09-01,DE,57.17133333333334,Childcare
2021-10-01,DE,69.49064516129032,Childcare
2021-11-01,DE,69.62966666666667,Childcare
2021-12-01,DE,77.45677419354838,Childcare
2022-01-01,DE,107.14322580645161,Childcare
2022-02-01,DE,107.22035714285714,Childcare
2022-03-01,DE,114.40387096774194,Childcare
2022-04-01,DE,113.45666666666666,Childcare
2022-05-01,DE,100.62161290322581,Childcare
2022-06-01,DE,86.56966666666668,Childcare
2022-07-01,DE,87.81548387096774,Childcare
2022-08-01,DE,83.16709677419354,Childcare
2022-09-01,DE,104.821,Childcare
2022-10-01,DE,127.81290322580645,Childcare
2022-11-01,DE,135.32733333333334,Childcare
2022-12-01,DE,159.66451612903228,Childcare
2023-01-01,DE,203.14612903225805,Childcare
2023-02-01,DE,179.0432142857143,Childcare
